timestamp,BTC,ETH,DASH,LTC,ETC,XRP
04/26-99:99,1458211.73,62163.25677151,81801.36702679,17107.78351006,5142.685,37.1020935
04/27-99:99,1506712.9219,72383.73512199,90012.0523672,16836.94143346,5568.21000009,39.10762125
04/28-99:99,1503531.29,83086.47579744,92408.65286439,16557.62581565,5507.92,50.86291
04/29-99:99,1510787.4625,80167.50696185,110362.96312042,18688.28200867,6178.85107452,62.71476945
04/30-99:99,1534757.3733,90731.75871671,105159.87308546,18512.11921363,7469.78167167,58.53830273
05/01-99:99,1602216.5269,87418.54747795,98874.21504976,18082.29786475,7542.14440276,60.60448613
05/02-99:99,1628337.9146,87326.00617564,97616.26998292,18091.04292075,7462.88849364,61.0398795
05/03-99:99,1684867.2578,91771.33164138,102893.7319792,24009.1183024,7540.87716989,69.09144437
05/04-99:99,1703392.843,106919.05811733,103814.81783392,26544.74330592,8361.548477,91.53055382
05/05-99:99,1710449.5404,103533.00633228,109038.10471176,29755.27356299,8608.78516032,105.46783973
05/06-99:99,1757907.6464,109516.28933999,111376.22512189,32000.24061997,8177.29189475,116.43668644
05/07-99:99,1770145.4109,101966.70753342,118024.09532568,34314.61028398,8033.287242,156.65819122
05/08-99:99,1852732.5358,99758.99269167,109132.78549902,32504.35227016,7656.48202907,228.48190098
05/09-99:99,1936502.1725,99665.28361099,104876.99964415,34241.29074305,7414.89,182.742299
05/10-99:99,1976105.9208,99986.80155409,101663.05870782,36359.70748335,7407.63701001,211.68312326
05/11-99:99,2033555.7205,99449.15545704,100709.09257031,34128.08639735,7285.26952485,204.721695
05/12-99:99,1911532.3029,99108.49622412,96528.46712438,32645.17611317,7159.37067978,230.10127451
05/13-99:99,1968804.4585,100185.03200437,98965.18262662,31525.78135036,6968.30427218,240.92012885
05/14-99:99,1986975.4125,101225.46845514,99315.56865952,32191.12321907,7688.4336501,248.7073401
05/15-99:99,1896702.9638,101206.5435081,100661.97709934,28442.56801179,7168.00363059,292.74641224
05/16-99:99,1915633.9169,97205.58502301,93639.32921232,26181.65469934,7009.30831353,379.18683778
05/17-99:99,2026300.7973,99058.59563271,92718.32490884,28713.34982524,6647.83844264,455.21859798
05/18-99:99,2133784.8131,109141.13885717,101293.6889442,31759.29726455,7577.87096996,410.10398697
05/19-99:99,2204815.8882,136523.02063402,111884.02578301,30573.61623369,8493.38015557,382.10935035
05/20-99:99,2284001.2939,137512.8827998,111425.09759533,30699.1579597,8338.30032617,395.40533112
05/21-99:99,2295722.9728,166161.71592036,113802.48632817,29210.83175089,8975.53228145,378.64562753
05/22-99:99,2353622.2096,171819.03383187,132022.12506105,27217.03252622,10890.0128277,353.67325062
05/23-99:99,2579611.3243,192488.98556192,150983.05113867,35623.99165747,12264.02615903,373.75463575
05/24-99:99,2740584.9134,213174.06901322,161947.01713048,39025.67452873,18336.75378502,340.0493897
05/25-99:99,2652121.6077,198119.05207896,138087.19992215,32171.38871048,17905.11013163,281.03179617
05/26-99:99,2531015.25,182294.14414378,127712.02682395,26887.08958647,16042.875,303.7831375
05/27-99:99,2329837.7911,177916.70855483,112942.7768713,26259.85856598,17975.65027785,238.61081761
05/28-99:99,2588714.7241,203242.87564505,130646.54375779,29136.37502164,19124.49778922,268.01585662
05/29-99:99,2473616.3874,192051.95156206,122745.16975096,27239.25201096,18047.40162502,257.27063625
05/30-99:99,2567399.8775,217997.32780557,131656.7778154,28834.54357595,19298.87270825,259.32340962
05/31-99:99,2484324.2067,262957.65529148,134816.09172661,27802.21913266,20791.67892635,234.70732347
06/01-99:99,2610475.9191,257019.04575538,158367.13634392,27891.87788264,19742.59954415,274.40869571
06/02-99:99,2747120.8929,254226.41403518,157038.31680243,31356.09130502,18984.40936568,373.57659879
06/03-99:99,2815555.1352,251206.65896711,166380.05704645,32286.84341115,19446.88970973,339.19669849
06/04-99:99,2857997.2689,253794.93155869,162482.62537921,30180.17753651,18244.45526456,332.90265372
06/05-99:99,2855781.2591,277090.60770736,164316.00814244,31840.83699321,19431.99202058,335.62976891
06/06-99:99,3058337.2513,278798.82947949,164051.94952975,33984.13014625,19389.84442713,328.1555152
